iter	Passed	Remaining
606	1377	891
607	1379	889
608	1381	886
609	1383	884
610	1385	882
611	1387	879
612	1389	877
613	1392	875
614	1394	872
615	1396	870
616	1398	868
617	1400	865
618	1402	863
619	1404	861
620	1407	858
621	1409	856
622	1411	854
623	1413	851
624	1415	849
625	1417	846
626	1419	844
627	1421	842
628	1424	839
629	1426	837
630	1428	835
631	1430	832
632	1432	830
633	1434	828
634	1436	825
635	1438	823
636	1441	821
637	1443	818
638	1445	816
639	1447	814
640	1449	812
641	1451	809
642	1454	807
643	1456	804
644	1458	802
645	1460	800
646	1462	797
647	1464	795
648	1466	793
649	1468	790
650	1471	788
651	1473	786
652	1475	784
653	1477	781
654	1479	779
655	1481	777
656	1484	774
657	1486	772
658	1488	770
659	1490	768
660	1493	765
661	1495	763
662	1497	761
663	1499	758
664	1501	756
665	1503	754
666	1506	751
667	1508	749
668	1510	747
669	1512	745
670	1514	742
671	1516	740
672	1519	738
673	1521	735
674	1523	733
675	1525	731
676	1527	728
677	1529	726
678	1531	724
679	1533	721
680	1535	719
681	1537	717
682	1539	714
683	1542	712
684	1544	710
685	1546	707
686	1548	705
687	1550	703
688	1552	700
689	1555	698
690	1557	696
691	1559	694
692	1561	691
693	1563	689
694	1565	687
695	1567	684
696	1569	682
697	1571	680
698	1573	677
699	1576	675
700	1578	673
701	1580	670
702	1582	668
703	1584	666
704	1587	664
705	1589	661
706	1591	659
707	1593	657
708	1595	654
709	1597	652
710	1599	650
711	1601	647
712	1604	645
713	1606	643
714	1608	641
715	1610	638
716	1613	636
717	1615	634
718	1617	632
719	1619	629
720	1621	627
721	1624	625
722	1626	623
723	1628	620
724	1630	618
725	1632	616
726	1634	613
727	1637	611
728	1639	609
729	1641	607
730	1643	604
731	1645	602
732	1647	600
733	1650	597
734	1652	595
735	1654	593
736	1656	591
737	1658	588
738	1660	586
739	1662	584
740	1664	581
741	1666	579
742	1669	577
743	1671	575
744	1673	572
745	1675	570
746	1677	568
747	1679	565
748	1682	563
749	1684	561
750	1686	559
751	1688	556
752	1690	554
753	1693	552
754	1695	550
755	1697	547
756	1699	545
757	1701	543
758	1703	540
759	1705	538
760	1707	536
761	1710	534
762	1712	531
763	1714	529
764	1716	527
765	1718	524
766	1720	522
767	1722	520
768	1724	518
769	1726	515
770	1729	513
771	1731	511
772	1733	509
773	1735	506
774	1737	504
775	1739	502
776	1741	499
777	1743	497
778	1746	495
779	1748	493
780	1750	490
