iter	Accuracy	MultiClass
190	0.9896073903	0.1252075024
191	0.9896073903	0.1246287854
192	0.9896073903	0.1240654474
193	0.9896073903	0.1229997159
194	0.9896073903	0.1222742487
195	0.9896073903	0.1220395364
196	0.9896073903	0.1213106904
197	0.9896073903	0.12082692
198	0.9896073903	0.1201675054
199	0.9896073903	0.1198574509
200	0.9896073903	0.11876315
201	0.9896073903	0.1183002282
202	0.9896073903	0.1178332066
203	0.9896073903	0.1175762335
204	0.9896073903	0.1166296428
205	0.9896073903	0.1157668964
206	0.9896073903	0.1153029609
207	0.9896073903	0.1150801247
208	0.9907621247	0.1142144854
209	0.9907621247	0.113665428
210	0.9907621247	0.1134862914
211	0.9907621247	0.1128124556
212	0.9907621247	0.1123512078
213	0.9907621247	0.1112197394
214	0.9907621247	0.1106469469
215	0.9907621247	0.1103633492
216	0.9907621247	0.1096416077
217	0.9907621247	0.1089728679
218	0.9907621247	0.1085629032
219	0.9907621247	0.1081818749
220	0.9907621247	0.1075965933
221	0.9907621247	0.106963828
222	0.9907621247	0.1064224276
223	0.9907621247	0.1061387141
224	0.9907621247	0.1057016897
225	0.9907621247	0.1046138749
226	0.9907621247	0.1039537327
227	0.9907621247	0.1034708002
228	0.9907621247	0.1029839449
229	0.9907621247	0.1026454424
230	0.9907621247	0.1018833392
231	0.9907621247	0.1016380986
232	0.9907621247	0.1013483647
233	0.9907621247	0.1008020429
234	0.9907621247	0.1002453358
235	0.9907621247	0.09991837872
236	0.9907621247	0.09977155213
237	0.9907621247	0.09909547088
238	0.9907621247	0.09835277677
239	0.9907621247	0.09795132213
240	0.9907621247	0.09732778455
241	0.9907621247	0.097118162
242	0.9907621247	0.09693665444
243	0.9907621247	0.09666461751
244	0.9907621247	0.09581564495
245	0.9907621247	0.09533923929
246	0.9907621247	0.09486054072
247	0.9907621247	0.09441990172
248	0.9907621247	0.09371408522
249	0.9907621247	0.09357675549
250	0.9907621247	0.09328084558
251	0.9907621247	0.09289985603
252	0.9907621247	0.092586485
253	0.9907621247	0.09246898669
254	0.9907621247	0.09230716704
255	0.9907621247	0.09199580407
256	0.9907621247	0.09173785627
257	0.9907621247	0.09155795146
258	0.9907621247	0.09124510529
259	0.9907621247	0.09095774436
260	0.9907621247	0.09035634493
